"filename", "language", "Python", "pip requirements", "JSON", "CSS", "Shell Script", "Markdown", "HTML", "Plain Text (PDF)", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/align-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/align-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/aperture.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-bottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-circle-bottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-circle-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-circle-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-circle-top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-thick-bottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-thick-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-thick-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-thick-top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/arrow-top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/audio-spectrum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/audio.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/badge.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/ban.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bar-chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/basket.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/battery-empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/battery-full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/beaker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bell.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bluetooth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bolt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/book.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bookmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/box.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/briefcase.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/british-pound.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/browser.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/brush.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/bullhorn.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/calculator.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/camera-slr.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/caret-bottom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/caret-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/caret-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/david/git/TDDD83/tddd83/prototyper/open-iconic/svg/caret-top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
